# Pre-built deck: one word/phrase pair per line, "english | french".
# First non-comment, non-blank line is the deck's display title.
Numbers, Days & Months
zero | zéro
one | un
two | deux
three | trois
four | quatre
five | cinq
six | six
seven | sept
eight | huit
nine | neuf
ten | dix
eleven | onze
twelve | douze
thirteen | treize
fourteen | quatorze
fifteen | quinze
sixteen | seize
seventeen | dix-sept
eighteen | dix-huit
nineteen | dix-neuf
twenty | vingt
thirty | trente
forty | quarante
fifty | cinquante
sixty | soixante
seventy | soixante-dix
eighty | quatre-vingts
ninety | quatre-vingt-dix
hundred | cent
Monday | lundi
Tuesday | mardi
Wednesday | mercredi
Thursday | jeudi
Friday | vendredi
Saturday | samedi
Sunday | dimanche
January | janvier
February | février
March | mars
April | avril
May | mai
June | juin
July | juillet
August | août
September | septembre
October | octobre
November | novembre
December | décembre
